	start	end
247	24055.250083	24151.899917
025	2404.800083	2503.949917
182	17775.650083	17872.499917
133	13032.100083	13128.899917
055	5376.700083	5475.749917
375	36408.050083	36504.799917
290	28209.000083	28305.499917
058	5673.900083	5772.999917
189	18453.450083	18550.249917
190	18550.250083	18647.049917
003	205.600083	307.099917
141	13806.500083	13903.299917
297	28885.050083	28981.649917
031	2999.500083	3098.549917
139	13612.900083	13709.699917
111	10902.700083	10999.499917
294	28595.250083	28691.849917
393	38143.700083	38239.899917
196	19131.050083	19227.849917
167	16323.300083	16420.099917
389	37758.900083	37855.099917
060	5872.100083	5971.199917
049	4782.400083	4881.449917
092	9041.700083	9140.749917
317	30814.850083	30910.949917
280	27243.950083	27340.599917
326	31679.800083	31775.899917
382	37085.400083	37181.699917
114	11193.100083	11289.899917
155	15161.700083	15258.499917
395	38336.100083	38432.299917
112	10999.500083	11096.299917
400	38817.250083	38913.499917
384	37277.900083	37374.099917
242	23572.000083	23668.649917
170	16613.700083	16710.499917
237	23088.800083	23185.449917
263	25600.850083	25697.449917
355	34472.550083	34569.349917
066	6466.450083	6565.499917
053	5178.600083	5277.649917
292	28402.050083	28498.649917
320	31103.150083	31199.249917
005	408.600083	510.099917
340	33025.200083	33121.299917
181	17678.850083	17775.649917
233	22702.950083	22799.099917
177	17291.450083	17388.299917
380	36891.850083	36988.599917
274	26664.050083	26760.699917
163	15936.100083	16032.899917
363	35247.050083	35343.799917
216	21066.400083	21162.949917
221	21549.150083	21645.299917
271	26374.100083	26470.749917
373	36214.450083	36311.249917
113	11096.300083	11193.099917
015	1413.800083	1512.899917
126	12354.700083	12451.499917
378	36698.300083	36795.099917
105	10321.900083	10418.699917
275	26760.700083	26857.349917
220	21452.600083	21549.149917
037	3593.800083	3692.849917
075	7357.900083	7456.949917
207	20195.850083	20292.699917
088	8645.550083	8744.599917
371	36020.950083	36117.699917
136	13322.500083	13419.299917
338	32833.000083	32929.099917
219	21356.050083	21452.599917
027	2603.100083	2702.249917
130	12741.750083	12838.499917
316	30718.750083	30814.849917
341	33121.300083	33217.399917
377	36601.550083	36698.299917
178	17388.300083	17485.149917
324	31487.600083	31583.699917
119	11677.100083	11773.899917
270	26277.450083	26374.099917
129	12645.100083	12741.749917
243	23668.650083	23765.299917
372	36117.700083	36214.449917
323	31391.500083	31487.599917
024	2305.700083	2404.799917
063	6169.300083	6268.349917
257	25021.200083	25117.849917
194	18937.450083	19034.249917
014	1314.650083	1413.799917
039	3791.900083	3890.949917
210	20486.300083	20583.099917
156	15258.500083	15355.299917
108	10612.300083	10709.099917
004	307.100083	408.599917
134	13128.900083	13225.699917
061	5971.200083	6070.249917
096	9437.900083	9536.949917
028	2702.250083	2801.399917
200	19518.250083	19615.049917
344	33409.900083	33506.599917
308	29947.600083	30044.199917
102	10031.500083	10128.299917
007	611.600083	713.099917
078	7655.050083	7754.099917
034	3296.650083	3395.699917
127	12451.500083	12548.299917
180	17582.000083	17678.849917
071	6961.700083	7060.749917
104	10225.100083	10321.899917
006	510.100083	611.599917
318	30910.950083	31007.049917
277	26954.000083	27050.649917
089	8744.600083	8843.599917
018	1711.100083	1810.199917
046	4485.250083	4584.299917
281	27340.600083	27437.249917
184	17969.350083	18066.199917
192	18743.850083	18840.649917
065	6367.400083	6466.449917
322	31295.400083	31391.499917
038	3692.850083	3791.899917
351	34085.900083	34182.449917
261	25407.650083	25504.249917
379	36795.100083	36891.849917
364	35343.800083	35440.549917
241	23475.400083	23571.999917
148	14484.100083	14580.899917
128	12548.300083	12645.099917
391	37951.300083	38047.499917
056	5475.750083	5574.799917
260	25311.050083	25407.649917
153	14968.100083	15064.899917
399	38721.000083	38817.249917
032	3098.550083	3197.599917
315	30622.650083	30718.749917
057	5574.800083	5673.899917
295	28691.850083	28788.449917
217	21162.950083	21259.499917
259	25214.450083	25311.049917
360	34956.750083	35053.549917
164	16032.900083	16129.699917
293	28498.650083	28595.249917
151	14774.500083	14871.299917
267	25987.500083	26084.149917
285	27726.550083	27822.999917
336	32640.800083	32736.899917
269	26180.800083	26277.449917
017	1612.000083	1711.099917
368	35730.750083	35827.449917
183	17872.500083	17969.349917
265	25794.150083	25890.849917
258	25117.850083	25214.449917
137	13419.300083	13516.099917
245	23861.950083	23958.599917
262	25504.250083	25600.849917
187	18259.850083	18356.649917
249	24248.550083	24345.149917
098	9636.000083	9735.049917
288	28016.000083	28112.499917
339	32929.100083	33025.199917
203	19808.650083	19905.449917
331	32160.300083	32256.399917
239	23282.100083	23378.749917
354	34375.850083	34472.549917
291	28305.500083	28402.049917
226	22029.900083	22126.049917
206	20099.050083	20195.849917
231	22510.650083	22606.799917
244	23765.300083	23861.949917
043	4188.100083	4287.149917
388	37662.700083	37758.899917
255	24828.100083	24924.599917
179	17485.150083	17581.999917
020	1909.300083	2008.399917
120	11773.900083	11870.699917
193	18840.650083	18937.449917
365	35440.550083	35537.299917
287	27919.500083	28015.999917
333	32352.500083	32448.599917
064	6268.350083	6367.399917
109	10709.100083	10805.899917
172	16807.300083	16904.099917
094	9239.800083	9338.849917
185	18066.200083	18163.049917
150	14677.700083	14774.499917
051	4980.500083	5079.549917
345	33506.600083	33603.149917
052	5079.550083	5178.599917
059	5773.000083	5872.099917
030	2900.450083	2999.499917
067	6565.500083	6664.549917
212	20679.900083	20776.699917
013	1215.500083	1314.649917
045	4386.200083	4485.249917
174	17000.950083	17097.799917
070	6862.650083	6961.699917
054	5277.650083	5376.699917
282	27437.250083	27533.849917
107	10515.500083	10612.299917
117	11483.500083	11580.299917
253	24634.950083	24731.549917
209	20389.500083	20486.299917
229	22318.350083	22414.499917
122	11967.500083	12064.299917
171	16710.500083	16807.299917
029	2801.400083	2900.449917
319	31007.050083	31103.149917
160	15645.700083	15742.499917
228	22222.200083	22318.349917
042	4089.050083	4188.099917
012	1116.350083	1215.499917
214	20873.300083	20969.849917
215	20969.850083	21066.399917
048	4683.350083	4782.399917
125	12257.900083	12354.699917
205	20002.250083	20099.049917
090	8843.600083	8942.649917
224	21837.600083	21933.749917
397	38528.500083	38624.749917
041	3990.000083	4089.049917
115	11289.900083	11386.699917
110	10805.900083	10902.699917
286	27823.000083	27919.499917
347	33699.700083	33796.249917
157	15355.300083	15452.099917
072	7060.750083	7159.799917
035	3395.700083	3494.749917
073	7159.800083	7258.849917
367	35634.050083	35730.749917
283	27533.850083	27630.149917
272	26470.750083	26567.399917
149	14580.900083	14677.699917
140	13709.700083	13806.499917
329	31968.100083	32064.199917
188	18356.650083	18453.449917
124	12161.100083	12257.899917
369	35827.450083	35924.199917
383	37181.700083	37277.899917
359	34859.900083	34956.749917
077	7556.000083	7655.049917
353	34279.150083	34375.849917
091	8942.650083	9041.699917
044	4287.150083	4386.199917
116	11386.700083	11483.499917
131	12838.500083	12935.299917
251	24441.750083	24538.349917
186	18163.050083	18259.849917
001	8.333333e-05	104.099917
195	19034.250083	19131.049917
076	7456.950083	7555.999917
033	3197.600083	3296.649917
199	19421.450083	19518.249917
201	19615.050083	19711.849917
106	10418.700083	10515.499917
213	20776.700083	20873.299917
135	13225.700083	13322.499917
166	16226.500083	16323.299917
050	4881.450083	4980.499917
252	24538.350083	24634.949917
358	34763.050083	34859.899917
047	4584.300083	4683.349917
587	56880.250083	56976.999917
693	67139.350083	67236.149917
611	59202.600083	59299.399917
469	45471.050083	45567.599917
590	57170.500083	57267.249917
431	41803.700083	41900.249917
479	46436.100083	46532.599917
502	48658.150083	48754.949917
758	73426.800083	73523.499917
735	71203.850083	71300.499917
447	43347.800083	43444.299917
694	67236.150083	67332.949917
702	68010.550083	68107.349917
784	75938.700083	76035.299917
492	47690.700083	47787.199917
552	53497.350083	53594.149917
425	41224.700083	41321.199917
743	71976.850083	72073.499917
730	70720.650083	70817.299917
656	63557.350083	63654.149917
750	72653.400083	72750.049917
413	40068.450083	40164.649917
549	53207.000083	53303.799917
594	57557.550083	57654.349917
407	39491.100083	39587.399917
666	64525.350083	64622.149917
455	44119.800083	44216.299917
534	51755.250083	51852.049917
685	66364.550083	66461.399917
684	66267.750083	66364.549917
679	65783.750083	65880.549917
434	42093.300083	42189.799917
456	44216.300083	44312.799917
593	57460.750083	57557.549917
692	67042.500083	67139.349917
699	67720.150083	67816.949917
510	49432.550083	49529.349917
526	50981.300083	51077.999917
418	40549.350083	40645.749917
539	52239.200083	52335.949917
555	53787.700083	53884.349917
608	58912.200083	59008.999917
446	43251.300083	43347.799917
535	51852.050083	51948.799917
432	41900.250083	41996.799917
722	69946.550083	70043.349917
676	65493.350083	65590.149917
737	71397.150083	71493.799917
461	44698.800083	44795.299917
509	49335.750083	49432.549917
423	41031.700083	41128.199917
648	62782.600083	62879.399917
725	70237.050083	70333.899917
451	43733.800083	43830.299917
727	70430.700083	70527.349917
410	39779.850083	39876.049917
779	75455.600083	75552.299917
630	61041.500083	61138.299917
786	76131.900083	76228.499917
530	51368.200083	51464.949917
621	60170.500083	60267.299917
457	44312.800083	44409.299917
551	53400.600083	53497.349917
793	76806.000083	76902.649917
787	76228.500083	76325.099917
625	60557.600083	60654.349917
677	65590.150083	65686.949917
529	51271.450083	51368.199917
781	75648.900083	75745.499917
550	53303.800083	53400.599917
493	47787.200083	47883.749917
464	44988.300083	45084.849917
622	60267.300083	60364.049917
686	66461.400083	66558.249917
513	49722.950083	49819.749917
718	69559.350083	69656.149917
548	53110.250083	53206.999917
430	41707.200083	41803.699917
401	38913.500083	39009.749917
783	75842.100083	75938.699917
487	47208.200083	47304.699917
705	68300.950083	68397.749917
724	70140.200083	70237.049917
592	57364.000083	57460.749917
482	46725.650083	46822.199917
602	58331.650083	58428.399917
723	70043.350083	70140.199917
556	53884.350083	53980.649917
649	62879.400083	62976.249917
414	40164.650083	40260.849917
491	47594.200083	47690.699917
627	60751.150083	60847.899917
472	45760.600083	45857.099917
610	59105.800083	59202.599917
558	54077.400083	54173.949917
601	58234.900083	58331.649917
532	51561.700083	51658.499917
672	65106.150083	65202.949917
769	74490.500083	74587.199917
567	54947.100083	55043.849917
484	46918.700083	47015.199917
409	39683.650083	39779.849917
746	72266.800083	72363.449917
628	60847.900083	60944.699917
486	47111.700083	47208.199917
544	52723.100083	52819.899917
626	60654.350083	60751.149917
516	50013.350083	50110.149917
515	49916.550083	50013.349917
591	57267.250083	57363.999917
772	74779.750083	74875.299917
494	47883.750083	47980.549917
533	51658.500083	51755.249917
564	54656.900083	54753.499917
481	46629.150083	46725.649917
773	74875.300083	74971.949917
443	42961.800083	43058.299917
578	56010.250083	56106.799917
729	70624.000083	70720.649917
760	73620.200083	73716.899917
643	62298.800083	62395.549917
713	69075.350083	69172.149917
411	39876.050083	39972.249917
641	62105.250083	62201.999917
490	47497.700083	47594.199917
680	65880.550083	65977.349917
599	58041.400083	58138.149917
765	74103.700083	74200.399917
506	49045.350083	49142.149917
412	39972.250083	40068.449917
435	42189.800083	42286.299917
719	69656.150083	69752.949917
553	53594.150083	53690.899917
612	59299.400083	59396.199917
402	39009.750083	39105.999917
571	55333.900083	55430.499917
629	60944.700083	61041.499917
546	52916.700083	53013.499917
496	48077.350083	48174.149917
489	47401.200083	47497.699917
716	69365.750083	69462.549917
444	43058.300083	43154.799917
674	65299.750083	65396.549917
518	50206.950083	50303.749917
466	45181.400083	45277.949917
569	55140.550083	55237.249917
640	62008.550083	62105.249917
715	69268.950083	69365.749917
437	42382.800083	42479.299917
645	62492.300083	62589.049917
488	47304.700083	47401.199917
572	55430.500083	55527.099917
523	50690.950083	50787.749917
517	50110.150083	50206.949917
503	48754.950083	48851.749917
690	66848.800083	66945.649917
421	40838.700083	40935.199917
427	41417.700083	41514.199917
560	54270.500083	54367.099917
614	59493.000083	59589.799917
635	61525.350083	61622.149917
428	41514.200083	41610.699917
651	63073.100083	63169.949917
766	74200.400083	74297.099917
453	43926.800083	44023.299917
495	47980.550083	48077.349917
706	68397.750083	68494.549917
731	70817.300083	70913.949917
536	51948.800083	52045.599917
717	69462.550083	69559.349917
433	41996.800083	42093.299917
757	73330.100083	73426.799917
573	55527.100083	55623.749917
796	77095.950083	77192.599917
753	72943.350083	73039.999917
703	68107.350083	68204.149917
563	54560.300083	54656.899917
728	70527.350083	70623.999917
438	42479.300083	42575.799917
406	39394.800083	39491.099917
450	43637.300083	43733.799917
473	45857.100083	45953.599917
689	66751.950083	66848.799917
542	52529.500083	52626.299917
624	60460.800083	60557.599917
696	67429.750083	67526.549917
738	71493.800083	71590.449917
697	67526.550083	67623.349917
449	43540.800083	43637.299917
440	42672.300083	42768.799917
499	48367.750083	48464.549917
795	76999.300083	77095.949917
619	59977.000083	60073.749917
623	60364.050083	60460.799917
670	64912.550083	65009.349917
707	68494.550083	68591.349917
585	56686.700083	56783.449917
485	47015.200083	47111.699917
748	72460.100083	72556.749917
603	58428.400083	58525.149917
700	67816.950083	67913.749917
596	57751.100083	57847.849917
574	55623.750083	55720.399917
732	70913.950083	71010.599917
436	42286.300083	42382.799917
714	69172.150083	69268.949917
659	63847.750083	63944.549917
726	70333.900083	70430.699917
698	67623.350083	67720.149917
607	58815.450083	58912.199917
767	74297.100083	74393.799917
597	57847.850083	57944.649917
709	68688.150083	68784.949917
475	46050.100083	46146.599917
586	56783.450083	56880.249917
519	50303.750083	50400.549917
778	75358.900083	75455.599917
683	66170.950083	66267.749917
665	64428.550083	64525.349917
497	48174.150083	48270.949917
426	41321.200083	41417.699917
673	65202.950083	65299.749917
642	62202.000083	62298.799917
687	66558.250083	66655.099917
721	69849.750083	69946.549917
695	67332.950083	67429.749917
605	58621.900083	58718.649917
653	63266.800083	63363.649917
589	57073.750083	57170.499917
797	77192.600083	77289.299917
439	42575.800083	42672.299917
404	39202.200083	39298.499917
470	45567.600083	45664.099917
660	63944.550083	64041.349917
668	64718.950083	64815.749917
658	63750.950083	63847.749917
575	55720.400083	55817.049917
742	71880.200083	71976.849917
417	40453.100083	40549.349917
745	72170.150083	72266.799917
663	64234.950083	64331.749917
681	65977.350083	66074.149917
463	44891.800083	44988.299917
615	59589.800083	59686.599917
790	76518.350083	76614.099917
448	43444.300083	43540.799917
541	52432.700083	52529.499917
504	48851.750083	48948.549917
582	56396.500083	56493.149917
751	72750.050083	72846.699917
527	51078.000083	51174.699917
480	46532.600083	46629.149917
634	61428.600083	61525.349917
637	61718.900083	61815.299917
543	52626.300083	52723.099917
616	59686.600083	59783.399917
756	73233.400083	73330.099917
791	76614.100083	76709.399917
741	71783.750083	71880.199917
508	49238.950083	49335.749917
759	73523.500083	73620.199917
762	73813.600083	73910.299917
652	63169.950083	63266.799917
617	59783.400083	59880.199917
788	76325.100083	76421.699917
468	45374.500083	45471.049917
798	77289.300083	77385.999917
419	40645.750083	40742.199917
720	69752.950083	69849.749917
454	44023.300083	44119.799917
525	50884.550083	50981.299917
654	63363.650083	63460.499917
403	39106.000083	39202.199917
565	54753.500083	54850.299917
528	51174.700083	51271.449917
429	41610.700083	41707.199917
478	46339.600083	46436.099917
691	66945.650083	67042.499917
579	56106.800083	56203.399917
655	63460.500083	63557.349917
600	58138.150083	58234.899917
669	64815.750083	64912.549917
776	75165.400083	75262.149917
570	55237.250083	55333.899917
408	39587.400083	39683.649917
678	65686.950083	65783.749917
547	53013.500083	53110.249917
755	73136.700083	73233.399917
415	40260.850083	40357.049917
671	65009.350083	65106.149917
520	50400.550083	50497.349917
424	41128.200083	41224.699917
764	74007.000083	74103.699917
511	49529.350083	49626.149917
647	62685.800083	62782.599917
710	68784.950083	68881.749917
500	48464.550083	48561.349917
581	56299.950083	56396.499917
744	72073.500083	72170.149917
545	52819.900083	52916.699917
646	62589.050083	62685.799917
777	75262.150083	75358.899917
733	71010.600083	71107.199917
661	64041.350083	64138.149917
559	54173.950083	54270.499917
712	68978.550083	69075.349917
736	71300.500083	71397.149917
771	74683.900083	74779.749917
739	71590.450083	71687.099917
657	63654.150083	63750.949917
704	68204.150083	68300.949917
633	61331.800083	61428.599917
576	55817.050083	55913.649917
667	64622.150083	64718.949917
606	58718.650083	58815.449917
483	46822.200083	46918.699917
650	62976.250083	63073.099917
531	51464.950083	51561.699917
474	45953.600083	46050.099917
507	49142.150083	49238.949917
512	49626.150083	49722.949917
609	59009.000083	59105.799917
639	61911.900083	62008.549917
708	68591.350083	68688.149917
800	77482.700083	77579.399917
782	75745.500083	75842.099917
734	71107.200083	71203.849917
662	64138.150083	64234.949917
604	58525.150083	58621.899917
785	76035.300083	76131.899917
462	44795.300083	44891.799917
789	76421.700083	76518.349917
775	75068.700083	75165.399917
524	50787.750083	50884.549917
420	40742.200083	40838.699917
792	76709.400083	76805.999917
770	74587.200083	74683.899917
441	42768.800083	42865.299917
557	53980.650083	54077.399917
422	40935.200083	41031.699917
537	52045.600083	52142.399917
405	39298.500083	39394.799917
445	43154.800083	43251.299917
465	45084.850083	45181.399917
701	67913.750083	68010.549917
562	54463.700083	54560.299917
740	71687.100083	71783.749917
522	50594.150083	50690.949917
467	45277.950083	45374.499917
799	77386.000083	77482.699917
459	44505.800083	44602.299917
620	60073.750083	60170.499917
554	53690.900083	53787.699917
595	57654.350083	57751.099917
580	56203.400083	56299.949917
747	72363.450083	72460.099917
749	72556.750083	72653.399917
613	59396.200083	59492.999917
682	66074.150083	66170.949917
521	50497.350083	50594.149917
505	48948.550083	49045.349917
598	57944.650083	58041.399917
538	52142.400083	52239.199917
618	59880.200083	59976.999917
664	64331.750083	64428.549917
675	65396.550083	65493.349917
754	73040.000083	73136.699917
768	74393.800083	74490.499917
577	55913.650083	56010.249917
460	44602.300083	44698.799917
638	61815.300083	61911.899917
514	49819.750083	49916.549917
794	76902.650083	76999.299917
583	56493.150083	56589.949917
471	45664.100083	45760.599917
588	56977.000083	57073.749917
752	72846.700083	72943.349917
644	62395.550083	62492.299917
540	52335.950083	52432.699917
476	46146.600083	46243.099917
688	66655.100083	66751.949917
477	46243.100083	46339.599917
711	68881.750083	68978.549917
631	61138.300083	61235.049917
780	75552.300083	75648.899917
636	61622.150083	61718.899917
566	54850.300083	54947.099917
498	48270.950083	48367.749917
501	48561.350083	48658.149917
632	61235.050083	61331.799917
561	54367.100083	54463.699917
761	73716.900083	73813.599917
442	42865.300083	42961.799917
568	55043.850083	55140.549917
774	74971.950083	75068.699917
458	44409.300083	44505.799917
763	73910.300083	74006.999917
452	43830.300083	43926.799917
584	56589.950083	56686.699917
416	40357.050083	40453.099917
885	85711.900083	85808.699917
1028	99555.600083	99652.399917
1181	113993.100083	114087.449917
1011	97910.000083	98006.799917
962	93166.350083	93263.149917
871	84356.250083	84453.049917
1115	107793.600083	107887.499917
1019	98684.400083	98781.199917
1100	106379.750083	106474.199917
956	92585.350083	92682.199917
1130	109202.100083	109295.999917
945	91520.350083	91617.149917
994	96264.150083	96360.999917
1166	112582.850083	112676.749917
1068	103351.800083	103446.449917
1107	107041.150083	107135.699917
920	89100.250083	89197.099917
991	95973.600083	96070.449917
959	92875.900083	92972.749917
967	93650.350083	93747.149917
1054	102026.700083	102121.349917
1108	107135.700083	107230.149917
941	91133.150083	91229.949917
971	94037.550083	94134.349917
1037	100417.650083	100512.299917
819	79321.100083	79417.949917
1164	112395.050083	112488.949917
1165	112488.950083	112582.849917
943	91326.750083	91423.549917
854	82710.150083	82806.999917
1033	100038.850083	100133.549917
849	82225.900083	82322.749917
864	83678.600083	83775.399917
837	81063.900083	81160.749917
1015	98297.200083	98393.999917
968	93747.150083	93843.949917
1163	112301.150083	112395.049917
1174	113334.050083	113427.949917
808	78256.300083	78352.999917
904	87551.100083	87647.899917
1032	99942.900083	100038.849917
836	80967.050083	81063.899917
888	86002.300083	86099.099917
826	79998.750083	80095.549917
1147	110798.400083	110892.299917
958	92779.050083	92875.899917
829	80289.150083	80385.949917
1138	109953.300083	110047.199917
1039	100606.950083	100701.599917
1190	114842.600083	114936.999917
834	80773.350083	80870.199917
977	94618.350083	94715.149917
939	90939.550083	91036.349917
940	91036.350083	91133.149917
979	94811.950083	94908.749917
961	93069.550083	93166.349917
947	91713.950083	91810.749917
1083	104771.950083	104866.599917
918	88906.550083	89003.399917
1067	103257.150083	103351.799917
1090	105434.500083	105529.149917
930	90068.350083	90165.149917
960	92972.750083	93069.549917
1118	108075.300083	108169.199917
873	84549.850083	84646.649917
1161	112113.350083	112207.249917
832	80579.650083	80676.499917
1084	104866.600083	104961.249917
851	82419.600083	82516.449917
852	82516.450083	82613.299917
889	86099.100083	86195.899917
950	92004.350083	92101.149917
847	82032.250083	82129.049917
969	93843.950083	93940.749917
846	81935.400083	82032.249917
881	85324.600083	85421.449917
975	94424.750083	94521.549917
922	89293.950083	89390.749917
1087	105150.550083	105245.199917
1066	103162.500083	103257.149917
1188	114653.800083	114748.199917
911	88228.700083	88325.499917
815	78933.850083	79030.649917
803	77772.800083	77869.499917
1158	111831.650083	111925.549917
858	83097.550083	83194.399917
801	77579.400083	77676.099917
932	90261.950083	90358.749917
1036	100322.950083	100417.649917
807	78159.600083	78256.299917
1069	103446.450083	103541.149917
1178	113710.000083	113804.399917
997	96554.700083	96651.549917
884	85615.100083	85711.899917
1081	104582.650083	104677.299917
1195	115314.600083	115408.999917
1101	106474.200083	106568.649917
1093	105718.250083	105812.749917
1145	110610.600083	110704.499917
1023	99071.600083	99168.399917
990	95876.750083	95973.599917
1124	108638.700083	108732.599917
909	88035.100083	88131.899917
957	92682.200083	92779.049917
879	85130.900083	85227.749917
855	82807.000083	82903.849917
907	87841.500083	87938.299917
1122	108450.900083	108544.799917
1003	97135.600083	97232.399917
931	90165.150083	90261.949917
1070	103541.150083	103635.849917
1007	97522.800083	97619.599917
811	78546.650083	78643.449917
891	86292.700083	86389.499917
824	79805.150083	79901.949917
1140	110141.100083	110234.999917
1110	107324.100083	107417.999917
1105	106852.150083	106946.649917
1052	101837.400083	101932.049917
1185	114370.650083	114464.999917
1197	115503.350083	115597.749917
926	89681.150083	89777.949917
878	85034.050083	85130.899917
1111	107418.000083	107511.899917
1044	101080.200083	101174.849917
1149	110986.250083	111080.199917
1056	102216.000083	102310.649917
1168	112770.650083	112864.549917
1106	106946.650083	107041.149917
823	79708.350083	79805.149917
1060	102594.600083	102689.249917
1175	113427.950083	113521.849917
857	83000.700083	83097.549917
810	78449.800083	78546.649917
905	87647.900083	87744.699917
862	83484.950083	83581.749917
1086	105055.900083	105150.549917
988	95683.150083	95779.949917
1055	102121.350083	102215.999917
1128	109014.300083	109108.199917
1082	104677.300083	104771.949917
1151	111174.150083	111268.099917
1109	107230.150083	107324.099917
933	90358.750083	90455.549917
1012	98006.800083	98103.599917
1137	109859.400083	109953.299917
1034	100133.550083	100228.249917
1053	101932.050083	102026.699917
1057	102310.650083	102405.299917
872	84453.050083	84549.849917
1026	99362.000083	99458.799917
814	78837.050083	78933.849917
1031	99846.100083	99942.899917
850	82322.750083	82419.599917
954	92391.650083	92488.499917
890	86195.900083	86292.699917
1096	106001.750083	106096.249917
1153	111362.050083	111455.999917
929	89971.550083	90068.349917
914	88519.150083	88615.999917
816	79030.650083	79127.449917
843	81644.950083	81741.749917
802	77676.100083	77772.799917
1018	98587.600083	98684.399917
1117	107981.400083	108075.299917
1199	115692.150083	115786.599917
1144	110516.700083	110610.599917
923	89390.750083	89487.549917
1127	108920.400083	109014.299917
952	92197.950083	92294.799917
964	93359.950083	93456.749917
859	83194.400083	83291.249917
1156	111643.850083	111737.749917
986	95489.550083	95586.349917
867	83969.000083	84065.799917
1187	114559.400083	114653.799917
974	94327.950083	94424.749917
869	84162.600083	84259.449917
995	96361.000083	96457.849917
978	94715.150083	94811.949917
896	86776.700083	86873.499917
877	84937.200083	85034.049917
1126	108826.500083	108920.399917
1095	105907.250083	106001.749917
831	80482.800083	80579.649917
912	88325.500083	88422.299917
806	78062.900083	78159.599917
1143	110422.800083	110516.699917
1148	110892.300083	110986.249917
949	91907.550083	92004.349917
983	95199.150083	95295.949917
1133	109483.800083	109577.699917
876	84840.350083	84937.199917
1051	101742.750083	101837.399917
